Comment,Designator,Footprint,JLCPCB Part #
2.2uF 100V X7R,C1,C1210,C5449052
2.2uF 100V X7R,C2,C1210,C5449052
2.2uF 100V X7R,C3,C1210,C5449052
100nF 16V X7R,C4,C0402,C1525
100nF 16V X7R,C5,C0402,C1525
100nF 16V X7R,C6,C0402,C1525
100nF 16V X7R,C7,C0402,C1525
100nF 16V X7R,C8,C0402,C1525
100nF 16V X7R,C9,C0402,C1525
100nF 16V X7R,C10,C0402,C1525
100nF 16V X7R,C18,C0402,C1525
100nF 16V X7R,C19,C0402,C1525
100nF 16V X7R,C20,C0402,C1525
22uF 100V,C11,CAP-SMD_BD6.3,C47023097
330pF 50V C0G,C12,C0603,C1664
47nF 50V X7R,C13,C0603,C1622
22uF 25V X5R,C14,C0805,C45783
22uF 25V X5R,C15,C0805,C45783
22uF 25V X5R,C16,C0805,C45783
220pF 50V,C17,C0402,C1530
1uF 25V X5R,C21,C0402,C52923
SS210 100V 2A Schottky,D1,SMA,C14996
1N4148W,D2,SOD-123,C81598
33uH 3.5A,L1,IND-SMD-5.2x5.2,C20417191
2.2k 1%,R1,R0402,C25879
47k 1%,R2,R0402,C25792
15k 1%,R3,R0402,C25756
3k 1%,R4,R0603,C4211
330k 1%,R5,R0603,C23137
1k 1%,R6,R0402,C11702
1k 1%,R10,R0402,C11702
10k 1%,R7,R0402,C25744
10k 1%,R9,R0402,C25744
220R 1%,R8,R0402,C25091
TPS54360DDAR,U1,SOIC-8-EP,C44377
74LVC1G125GV,U3,SOT-23-5,C52140413
74LVC1G125GV,U4,SOT-23-5,C52140413
