Designator,Mid X,Mid Y,Layer,Rotation
C1,31.7400,10.4300,top,0
C2,19.3900,8.4500,top,270
C3,16.0000,8.5000,top,270
C4,1.2300,19.3100,top,270
C5,2.5100,19.2800,top,270
C6,3.8200,19.2800,top,270
C7,5.0500,19.2600,top,270
C8,6.2700,19.2700,top,270
C9,7.5000,19.2700,top,270
C10,27.3800,12.1900,top,0
C11,25.8700,6.4300,top,180
C12,21.4900,17.7600,top,0
C13,20.7300,15.3300,top,270
C14,9.1800,18.4800,top,270
C15,11.2000,18.4800,top,270
C16,13.2200,18.4800,top,270
C17,3.4800,6.5700,top,90
C18,11.0800,4.0700,top,270
C19,5.9700,10.4800,top,90
C20,4.2600,14.2700,top,270
C21,5.4900,14.2700,top,270
D1,11.1800,14.8700,top,180
D2,5.1100,4.1600,top,180
L1,17.1500,17.3100,top,90
R1,10.1200,11.2200,top,270
R2,23.6800,19.0800,top,90
R3,24.9700,19.0700,top,270
R4,22.4000,15.3200,top,270
R5,27.2900,19.2800,top,0
R6,9.1900,4.3700,top,270
R7,4.7000,6.3900,top,90
R8,4.8000,16.1300,top,0
R9,6.7000,15.6400,top,270
R10,1.8700,5.4800,top,270
U1,27.3700,15.4200,top,90
U3,10.1400,7.3000,top,90
U4,6.9100,7.3100,top,270
